Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location,Land Type_x,Land Type_y
2019,64,105704,105704,377-381 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Trapt Bar & Escape Rooms,"Unit 1, 377 Lonsdale Street MELBOURNE 3000",331,144.96145448655,-37.8128794732693,"-37.8128794732693, 144.96145448655",Commercial,Commercial
2019,64,515538,515538,4-6 Goldie Place MELBOURNE 3000,Melbourne (CBD),Paris Cat Jazz Club,4-6 Goldie Place MELBOURNE 3000,120,144.960829028378,-37.81351796725,"-37.81351796725, 144.96082902837784",Commercial,Commercial
2019,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Beneath Driver Lane,"Basement , 318 Little Bourke Street MELBOURNE 3000",118,144.96312748625,-37.8129258892501,"-37.81292588925007, 144.96312748625002",Commercial,Commercial
2019,65,109292,109292,243-249 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Lounge,"Level 1, 243-249 Swanston Street MELBOURNE 3000",212,144.964736254633,-37.8123009589,"-37.8123009589, 144.9647362546334",Commercial,Commercial
2019,66,105694,105694,233-237 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Emerald Peacock,233 Lonsdale Street MELBOURNE 3000,300,144.96554789575,-37.8115803874059,"-37.81158038740586, 144.96554789574998",Commercial,Commercial
2019,66,108547,108547,199-203 Russell Street MELBOURNE 3000,Melbourne (CBD),Exford Hotel,199-203 Russell Street MELBOURNE 3000,300,144.967340808983,-37.81179187755,"-37.81179187755, 144.96734080898327",Commercial,Commercial
2019,66,109390,109390,264-266 Swanston Street MELBOURNE 3000,Melbourne (CBD),Goldilocks,"Rooftop , 264-266 Swanston Street MELBOURNE 3000",60,144.965147403358,-37.81181061845,"-37.81181061845, 144.96514740335823",Commercial,Commercial
2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Rooftop Cinema & Bar,"Unit , Level 7, 252 Swanston Street MELBOURNE 3000",200,144.965271426409,-37.81199286335,"-37.81199286335, 144.965271426409",Commercial,Commercial
2019,67,102198,102198,22-26 Corrs Lane MELBOURNE 3000,Melbourne (CBD),Playground,"Basement , 22-26 Corrs Lane MELBOURNE 3000",50,144.968324247882,-37.81099753385,"-37.81099753385, 144.968324247882",Commercial,Commercial
2019,67,102200,102200,12-14 Corrs Lane MELBOURNE 3000,Melbourne (CBD),Fad Gallery,"Gnd & Flr1 , 14 Corrs Lane MELBOURNE 3000",80,144.968431807266,-37.8112296141,"-37.8112296141, 144.96843180726552",Commercial,Commercial
2019,67,105673,105673,103-105 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Bomba Tapas Bar and Rooftop,103 Lonsdale Street MELBOURNE 3000,145,144.9692532887,-37.8104941388511,"-37.81049413885108, 144.96925328869995",Commercial,Commercial
2019,67,105675,105675,113 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Seamstress,113 Lonsdale Street MELBOURNE 3000,160,144.9690110808,-37.8105653381264,"-37.8105653381264, 144.9690110808",Commercial,Commercial
2019,67,108581,108581,226-236 Russell Street MELBOURNE 3000,Melbourne (CBD),Heartbreaker,234A Russell Street MELBOURNE 3000,166,144.967643846553,-37.8109824535,"-37.8109824535, 144.96764384655324",Commercial,Commercial
2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Idarts Hive,243 Little Lonsdale Street MELBOURNE 3000,100,144.965725053002,-37.81067861705,"-37.81067861705, 144.965725053002",Commercial,Commercial
2019,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),Melbourne Whisky Room,"Level 1, 270A Russell Street MELBOURNE 3000",50,144.967164012098,-37.81011057515,"-37.81011057515, 144.96716401209824",Commercial,Commercial
2019,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),Whisky and Alement,"Ground , 270 Russell Street MELBOURNE 3000",90,144.967164012098,-37.81011057515,"-37.81011057515, 144.96716401209824",Commercial,Commercial
